City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,Jacareacanga,-6.2222,-57.7528,31.2,51,91,1.82,BR,1657396838
250,Sembakung,3.8167,117.25,23.6,94,100,0.61,ID,1657396838
251,Port Shepstone,-30.7414,30.455,18.21,80,0,3.24,ZA,1657396838
252,General Escobedo,25.8167,-100.3333,36.15,45,80,4.35,MX,1657396838
253,Cap Malheureux,-19.9842,57.6142,19.7,68,51,2.24,MU,1657396814
254,Saint-Paul,-21.0096,55.2707,20.76,71,89,0.63,RE,1657396642
255,Carahue,-38.7,-73.1667,7.29,94,100,1.44,CL,1657396838
256,Uvalde,29.3669,-99.767,38.51,34,0,3.6,US,1657396839
257,Buraidah,26.326,43.975,32.56,10,98,4.46,SA,1657396839
258,Laas,46.6166,10.7002,15.84,71,94,2.71,IT,1657396839
259,Murud,18.3258,72.965,26.51,87,100,7.11,IN,1657396839
260,Palana,59.1167,159.9667,10.35,98,100,3.26,RU,1657396840
261,Provideniya,64.3833,-173.3,9.34,92,100,3.65,RU,1657396840
262,Wajid,3.8093,43.2471,23.98,59,77,9.74,SO,1657396840
263,Santa Rosalía,27.3167,-112.2833,31.59,50,69,2.92,MX,1657396840
264,Cururupu,-1.8283,-44.8683,26.38,81,55,1.64,BR,1657396840
265,Panabá,21.2833,-88.2667,29.3,70,100,3.73,MX,1657396840
266,Petropavlovsk-Kamchatskiy,53.0452,158.6483,22.33,83,0,3.0,RU,1657396561
267,Valença,-13.3703,-39.0731,22.41,83,78,3.21,BR,1657396840
268,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,32.46,25,28,5.57,AR,1657396841
269,Leningradskiy,69.3833,178.4167,3.94,93,100,4.13,RU,1657396841
270,Faya,18.3851,42.4509,20.5,43,100,3.48,SA,1657396842
271,Denpasar,-8.65,115.2167,25.81,88,40,5.14,ID,1657396842
272,Shirokiy,49.758,129.523,16.07,93,95,3.0,RU,1657396842
273,Clyde River,70.4692,-68.5914,8.72,64,36,1.13,CA,1657396843
274,Ubari,26.5921,12.7805,34.55,14,2,4.12,LY,1657396843
275,Esperance,-33.8667,121.9,14.84,80,100,10.15,AU,1657396843
276,Tyazhinskiy,56.116,88.524,14.93,84,24,0.91,RU,1657396843
277,Morgan City,29.6994,-91.2068,34.44,71,100,3.0,US,1657396843
278,Eyl,7.9803,49.8164,25.26,69,26,11.61,SO,1657396844
279,Chifeng,42.2683,118.9636,21.56,47,82,1.72,CN,1657396844
280,Krivosheino,57.3431,83.9261,16.95,80,15,1.73,RU,1657396845
281,Cabo San Lucas,22.8909,-109.9124,35.9,63,91,2.31,MX,1657396845
282,Bonfim,3.0833,-59.95,29.36,69,74,2.89,BR,1657396845
283,Camapuã,-19.5314,-54.0439,32.36,23,0,2.5,BR,1657396845
284,Kenora,49.8167,-94.4337,25.99,50,32,5.81,CA,1657396845
285,Palmer,42.1584,-72.3287,29.02,31,0,0.89,US,1657396845
286,Pālang,23.2167,90.35,27.07,87,20,3.89,BD,1657396846
287,Petropavlovka,50.6114,105.3196,11.99,72,52,1.65,RU,1657396846
